    ,Dataset                        ,Catch22Classifier  ,FreshPRINCEClassifier ,TSFreshClassifier
 38 ,PigAirwayPressure              ,0.5336538461538461 ,   0.4230769230769231 ,0.4086538461538461
 46 ,PigArtPressure                 ,0.9615384615384616 ,   0.9134615384615384 ,0.966346153846154
 51 ,PigCVP                         ,0.6923076923076923 ,   0.7980769230769231 ,0.0192307692307692
 12 ,Plane                          ,0.9904761904761904 ,   1.0                ,1.0
  1 ,PowerCons                      ,0.9333333333333332 ,   0.9722222222222222 ,0.9666666666666668
 30 ,ProximalPhalanxOutlineAgeGroup ,0.8439024390243902 ,   0.8341463414634146 ,0.8439024390243902
100 ,ProximalPhalanxOutlineCorrect  ,0.8350515463917526 ,   0.8969072164948454 ,0.8694158075601375
 54 ,ProximalPhalanxTW              ,0.7609756097560976 ,   0.775609756097561  ,0.7804878048780488
 77 ,RefrigerationDevices           ,0.5226666666666666 ,   0.6                ,0.56
 28 ,Rock                           ,0.76               ,   0.76               ,0.7
 99 ,ScreenType                     ,0.5093333333333333 ,   0.584              ,0.6053333333333333
 78 ,SemgHandGenderCh2              ,0.905              ,   0.9583333333333334 ,0.9333333333333332
 45 ,SemgHandMovementCh2            ,0.78               ,   0.8933333333333333 ,0.8355555555555556
 67 ,SemgHandSubjectCh2             ,0.86               ,   0.9466666666666668 ,0.92
 96 ,ShapeletSim                    ,0.9888888888888888 ,   1.0                ,0.5
 27 ,ShapesAll                      ,0.8083333333333333 ,   0.8616666666666667 ,0.8583333333333333
 61 ,SmallKitchenAppliances         ,0.808              ,   0.816              ,0.8133333333333334
  6 ,SmoothSubspace                 ,0.84               ,   0.9733333333333334 ,0.9666666666666668
103 ,SonyAIBORobotSurface1          ,0.8569051580698835 ,   0.91846921797005   ,0.9168053244592346
 47 ,SonyAIBORobotSurface2          ,0.9265477439664218 ,   0.9160545645330536 ,0.9024134312696748
 66 ,StarLightCurves                ,0.9695240407965032 ,   0.9797231665857212 ,0.9794803302574066
 97 ,Strawberry                     ,0.927027027027027  ,   0.9594594594594594 ,0.9486486486486486
 87 ,SwedishLeaf                    ,0.9024             ,   0.9392             ,0.9456
 71 ,Symbols                        ,0.9608040201005024 ,   0.9728643216080402 ,0.9366834170854272
 59 ,SyntheticControl               ,0.9633333333333334 ,   0.9966666666666668 ,1.0
 53 ,ToeSegmentation1               ,0.8640350877192983 ,   0.8157894736842105 ,0.5263157894736842
  9 ,ToeSegmentation2               ,0.7923076923076923 ,   0.8615384615384616 ,0.8384615384615385
 68 ,Trace                          ,1.0                ,   1.0                ,1.0
 24 ,TwoLeadECG                     ,0.8323090430201932 ,   0.9912203687445128 ,0.4995610184372256
  5 ,TwoPatterns                    ,0.848              ,   0.997              ,0.9955
 64 ,UMD                            ,0.8958333333333334 ,   0.9861111111111112 ,0.9513888888888888
 98 ,UWaveGestureLibraryAll         ,0.8280290340591848 ,   0.9637074260189838 ,0.951144611948632
 44 ,UWaveGestureLibraryX           ,0.7546063651591289 ,   0.8403126744835288 ,0.803461753210497
 41 ,UWaveGestureLibraryY           ,0.6954215522054717 ,   0.768285873813512  ,0.7252931323283082
 39 ,UWaveGestureLibraryZ           ,0.7024008933556672 ,   0.7858738135120045 ,0.7467895030709101
 42 ,Wafer                          ,0.9974042829331604 ,   1.0                ,1.0
 80 ,Wine                           ,0.3888888888888889 ,   0.7962962962962963 ,0.5
 19 ,WordSynonyms                   ,0.5376175548589341 ,   0.6536050156739812 ,0.5877742946708464
 48 ,Worms                          ,0.7272727272727273 ,   0.8181818181818182 ,0.7662337662337663
 52 ,WormsTwoClass                  ,0.8571428571428571 ,   0.8311688311688312 ,0.6103896103896104
 94 ,Yoga                           ,0.784              ,   0.9146666666666666 ,0.9146666666666666
