Arsenal            ,BOSS               ,CBOSS              ,CNN                ,CIF                ,Catch22            ,DrCIF              ,FreshPRINCEClassifier ,HIVECOTEV1         ,HIVECOTEV2         ,InceptionTimeClassifier ,STC                ,TS-CHIEF           ,ResNet             ,ProximityForest    ,RocketClassifier   ,TSFreshClassifier  ,WEASEL
1.0                ,1.0                ,1.0                ,0.9666666666666668 ,0.98               ,0.9666666666666668 ,0.9933333333333332 ,   0.94               ,1.0                ,1.0                ,     1.0                ,1.0                ,1.0                ,0.9933333333333332 ,1.0                ,1.0                ,0.9533333333333334 ,1.0
1.0                ,0.993              ,0.9925             ,0.99525            ,0.99875            ,0.848              ,0.99975            ,   0.997              ,0.998              ,1.0                ,     1.0                ,0.869              ,1.0                ,1.0                ,1.0                ,1.0                ,0.9955             ,0.99625
0.8082191780821918 ,0.6986301369863014 ,0.7123287671232876 ,0.6301369863013698 ,0.726027397260274  ,0.6986301369863014 ,0.7534246575342466 ,   0.7123287671232876 ,0.7534246575342466 ,0.8082191780821918 ,     0.7945205479452054 ,0.6986301369863014 ,0.7671232876712328 ,0.8493150684931506 ,0.8493150684931506 ,0.821917808219178  ,0.6575342465753424 ,0.7671232876712328
0.981081081081081  ,0.9702702702702702 ,0.9756756756756756 ,0.9594594594594594 ,0.972972972972973  ,0.927027027027027  ,0.9648648648648648 ,   0.9594594594594594 ,0.972972972972973  ,0.9783783783783784 ,     0.9837837837837838 ,0.972972972972973  ,0.9702702702702702 ,0.9756756756756756 ,0.9675675675675676 ,0.981081081081081  ,0.9486486486486486 ,0.9783783783783784
0.7482014388489209 ,0.7482014388489209 ,0.7482014388489209 ,0.6762589928057554 ,0.7482014388489209 ,0.7410071942446043 ,0.7482014388489209 ,   0.7697841726618705 ,0.7482014388489209 ,0.7482014388489209 ,     0.7122302158273381 ,0.7482014388489209 ,0.7482014388489209 ,0.7122302158273381 ,0.7553956834532374 ,0.7410071942446043 ,0.7553956834532374 ,0.7482014388489209
0.9975438596491228 ,0.983859649122807  ,0.9936842105263158 ,0.9617543859649124 ,0.9992982456140352 ,0.99859649122807   ,0.9996491228070176 ,   0.9894736842105264 ,0.9978947368421052 ,0.9992982456140352 ,     0.996842105263158  ,0.996140350877193  ,0.9975438596491228 ,0.9989473684210526 ,0.9407017543859648 ,0.9971929824561404 ,0.983157894736842  ,0.9912280701754386
0.8213333333333334 ,0.8026666666666666 ,0.8133333333333334 ,0.6213333333333333 ,0.8213333333333334 ,0.808              ,0.8213333333333334 ,   0.816              ,0.8053333333333333 ,0.8453333333333334 ,     0.7786666666666666 ,0.656              ,0.824              ,0.776              ,0.752              ,0.808              ,0.8133333333333334 ,0.7573333333333333
0.9648             ,0.9184             ,0.9152             ,0.8944             ,0.96               ,0.9024             ,0.968              ,   0.9392             ,0.9488             ,0.9648             ,     0.9696             ,0.9296             ,0.9648             ,0.9632             ,0.9456             ,0.9616             ,0.9456             ,0.9792
0.7770833333333333 ,0.6536458333333334 ,0.6627604166666666 ,0.590625           ,0.72265625         ,0.6013020833333333 ,0.7403645833333333 ,   0.7747395833333334 ,0.7401041666666667 ,0.7622395833333333 ,     0.8760416666666667 ,0.7424479166666667 ,0.6596354166666667 ,0.8479166666666667 ,0.6322916666666667 ,0.8119791666666667 ,0.459375           ,0.7630208333333334
1.0                ,0.7733333333333333 ,0.6466666666666666 ,0.9933333333333332 ,1.0                ,0.9133333333333332 ,1.0                ,   1.0                ,0.88               ,1.0                ,     1.0                ,0.82               ,0.9933333333333332 ,1.0                ,1.0                ,1.0                ,1.0                ,0.96
