Dataset Name,Accuracy
Adiac,0.7595907928388747
Beef,0.8333333333333334
Car,0.85
CBF,0.9155555555555556
Coffee,1.0
DiatomSizeReduction,0.8954248366013072
ECG200,0.91
ECGFiveDays,0.9953542392566783
FaceFour,0.7613636363636364
GunPoint,0.9666666666666667
Lightning2,0.639344262295082
Lightning7,0.5342465753424658
MedicalImages,0.7289473684210527
MoteStrain,0.8506389776357828
OliveOil,0.7
SonyAIBORobotSurface1,0.740432612312812
SonyAIBORobotSurface2,0.8499475341028332
SyntheticControl,0.9666666666666667
Trace,0.85
TwoPatterns,0.94925
