,Dataset Name,Accuracy
0,Mallat,0.9556503198294243
1,EOGVerticalSignal,0.5359116022099447
2,Herring,0.625
3,FaceAll,0.8349112426035503
4,Wine,0.6481481481481481
5,UWaveGestureLibraryZ,0.7610273590173088
6,MixedShapesRegularTrain,0.9393814432989691
7,InlineSkate,0.6
8,MiddlePhalanxTW,0.512987012987013
9,FordA,0.9696969696969697
10,Plane,1.0
11,BirdChicken,0.95
12,DiatomSizeReduction,0.9509803921568627
