Dataset                        ;Catch22Classifier  ;FreshPRINCEClassifier ;TSFreshClassifier  ;Model_Dicionário;Model_Amazonico;model_padrao
GunPointAgeSpan                ;0.9746835443037974 ;   0.981012658227848  ;0.9841772151898734 ;0.9968354430379747;0.990506329113924;0.939873417721519
GunPointMaleVersusFemale       ;0.9936708860759492 ;   0.9841772151898734 ;0.9968354430379748 ;0.9968354430379747;1.0;0.9873417721518988
GunPointOldVersusYoung         ;1.0                ;   1.0                ;1.0                ;1.0;1.0;0.9809523809523809
Ham                            ;0.6                ;   0.7428571428571429 ;0.6476190476190476 ;0.6952380952380952;0.6952380952380952;0.7142857142857143
HandOutlines                   ;0.8594594594594595 ;   0.9054054054054054 ;0.9027027027027028 ;0.9054054054054054;0.9135135135135135;0.9054054054054054
Haptics                        ;0.4805194805194805 ;   0.5032467532467533 ;0.4707792207792208 ;0.45454545454545453;0.4805194805194805;0.4772727272727273
Herring                        ;0.53125            ;   0.65625            ;0.59375            ;0.65625;0.640625;0.65625
HouseTwenty                    ;0.957983193277311  ;   0.9327731092436976 ;0.9243697478991596 ;0.865546218487395;0.8991596638655462;0.865546218487395
InlineSkate                    ;0.4254545454545455 ;   0.5127272727272727 ;0.3563636363636364 ;0.35818181818181816;0.4290909090909091;0.4072727272727273
InsectEPGRegularTrain          ;1.0                ;   1.0                ;1.0                ;1.0;1.0;1.0
InsectEPGSmallTrain            ;0.9879518072289156 ;   1.0                ;1.0                ;1.0;1.0;1.0
InsectWingbeatSound            ;0.5671717171717172 ;   0.657070707070707  ;0.6585858585858586 ;0.6636363636363637;0.6656565656565656;0.645959595959596
ItalyPowerDemand               ;0.8960155490767736 ;   0.8979591836734694 ;0.9620991253644317 ;0.9523809523809523;0.9689018464528668;0.9611273080660836
LargeKitchenAppliances         ;0.8453333333333334 ;   0.88               ;0.816              ;0.6133333333333333;0.624;0.656
Lightning2                     ;0.6885245901639344 ;   0.7540983606557377 ;0.5409836065573771 ;0.8360655737704918;0.7868852459016393;0.8032786885245902
Lightning7                     ;0.6986301369863014 ;   0.7123287671232876 ;0.6575342465753424 ;0.821917808219178;0.7534246575342466;0.6164383561643836
Mallat                         ;0.9266524520255864 ;   0.9637526652452024 ;0.9275053304904052 ;0.9641791044776119;0.9590618336886994;0.9603411513859275
Meat                           ;0.9333333333333332 ;   0.9166666666666666 ;0.95               ;0.9666666666666667;0.9333333333333333;0.9333333333333333
MedicalImages                  ;0.7486842105263158 ;   0.8144736842105263 ;0.7802631578947369 ;0.7342105263157894;0.8092105263157895;0.756578947368421
MiddlePhalanxOutlineAgeGroup   ;0.6038961038961039 ;   0.5844155844155844 ;0.5844155844155844 ;0.6103896103896104;0.564935064935065;0.5584415584415584
MiddlePhalanxOutlineCorrect    ;0.7663230240549829 ;   0.8694158075601375 ;0.8075601374570447 ;0.8247422680412371;0.8213058419243986;0.8041237113402062
MiddlePhalanxTW                ;0.525974025974026  ;   0.5584415584415584 ;0.5974025974025974 ;0.564935064935065;0.5714285714285714;0.564935064935065
MixedShapesRegularTrain        ;0.9154639175257732 ;   0.9505154639175256 ;0.9418556701030928 ;0.9208247422680412;0.9360824742268041;0.914639175257732
MixedShapesSmallTrain          ;0.859381443298969  ;   0.8985567010309279 ;0.9051546391752576 ;0.8527835051546392;0.876701030927835;0.8725773195876289
MoteStrain                     ;0.865814696485623  ;   0.9113418530351438 ;0.5391373801916933 ;0.8857827476038339;0.9097444089456869;0.8761980830670927
NonInvasiveFetalECGThorax1     ;0.8508905852417303 ;   0.9297709923664124 ;0.9114503816793892 ;0.8865139949109415;0.9139949109414758;0.8895674300254452
NonInvasiveFetalECGThorax2     ;0.8727735368956743 ;   0.9363867684478372 ;0.9353689567430026 ;0.9195928753180661;0.9297709923664123;0.9170483460559796
OSULeaf                        ;0.6942148760330579 ;   0.8677685950413223 ;0.8677685950413223 ;0.5743801652892562;0.9;0.6157024793388429
OliveOil                       ;0.7333333333333333 ;   0.8666666666666667 ;0.8666666666666667 ;0.9;0.628099173553719;0.9
PhalangesOutlinesCorrect       ;0.7855477855477856 ;   0.837995337995338  ;0.8123543123543123 ;0.8181818181818182;0.8356643356643356;0.8216783216783217
Phoneme                        ;0.300632911392405  ;   0.3454641350210971 ;0.3665611814345991 ;0.21729957805907174;0.2689873417721519;0.21729957805907174
PigAirwayPressure              ;0.5336538461538461 ;   0.4230769230769231 ;0.4086538461538461 ;0.4086538461538461;0.21634615384615385;0.1346153846153846
PigArtPressure                 ;0.9615384615384616 ;   0.9134615384615384 ;0.966346153846154  ;0.93134615384615384;0.4326923076923077;0.16346153846153846
PigCVP                         ;0.6923076923076923 ;   0.7980769230769231 ;0.0192307692307692 ;0.23076923076923078;0.3317307692307692;0.23076923076923078
Plane                          ;0.9904761904761904 ;   1.0                ;1.0                ;0.9904761904761905;1.0;1.0
PowerCons                      ;0.9333333333333332 ;   0.9722222222222222 ;0.9666666666666668 ;1.0;1.0;0.9833333333333333
ProximalPhalanxOutlineAgeGroup ;0.8439024390243902 ;   0.8341463414634146 ;0.8439024390243902 ;0.8585365853658536;0.8585365853658536;0.8536585365853658
ProximalPhalanxOutlineCorrect  ;0.8350515463917526 ;   0.8969072164948454 ;0.8694158075601375 ;0.8797250859106529;0.8797250859106529;0.8762886597938144
ProximalPhalanxTW              ;0.7609756097560976 ;   0.775609756097561  ;0.7804878048780488 ;0.8048780487804879;0.8146341463414634;0.8
RefrigerationDevices           ;0.5226666666666666 ;   0.6                ;0.56               ;0.56;0.5706666666666667;0.584
Rock                           ;0.76               ;   0.76               ;0.7                ;0.84;0.8;0.72
ScreenType                     ;0.5093333333333333 ;   0.584              ;0.6053333333333333 ;0.392;0.48;0.47733333333333333
SemgHandGenderCh2              ;0.905              ;   0.9583333333333334 ;0.9333333333333332 ;0.895;0.9666666666666667;0.81
SemgHandMovementCh2            ;0.78               ;   0.8933333333333333 ;0.8355555555555556 ;0.68;0.8577777777777778;0.5577777777777778
SemgHandSubjectCh2             ;0.86               ;   0.9466666666666668 ;0.92               ;0.8777777777777778;0.9244444444444444;0.7288888888888889
ShapeletSim                    ;0.9888888888888888 ;   1.0                ;0.5                ;0.6833333333333333;0.9277777777777778;0.5777777777777777
ShapesAll                      ;0.8083333333333333 ;   0.8616666666666667 ;0.8583333333333333 ;0.815;0.8383333333333334;0.785
SmallKitchenAppliances         ;0.808              ;   0.816              ;0.8133333333333334 ;0.7493333333333333;0.824;0.6613333333333333
SmoothSubspace                 ;0.84               ;   0.9733333333333334 ;0.9666666666666668 ;0.98;0.9933333333333333;0.9533333333333334
SonyAIBORobotSurface1          ;0.8569051580698835 ;   0.91846921797005   ;0.9168053244592346 ;0.7970049916805324;0.8635607321131448;0.8386023294509152
SonyAIBORobotSurface2          ;0.9265477439664218 ;   0.9160545645330536 ;0.9024134312696748 ;0.881427072402938;0.838405036726128;0.8583420776495279
StarLightCurves                ;0.9695240407965032 ;   0.9797231665857212 ;0.9794803302574066 ;0.9794803302574066;0.9734094220495386;0.9658814958717824
Strawberry                     ;0.927027027027027  ;   0.9594594594594594 ;0.9486486486486486 ;0.9702702702702702;0.9702702702702702;0.9621621621621622
SwedishLeaf                    ;0.9024             ;   0.9392             ;0.9456             ;0.9136;0.9392;0.9136
Symbols                        ;0.9608040201005024 ;   0.9728643216080402 ;0.9366834170854272 ;0.878391959798995;0.935678391959799;0.8482412060301507
SyntheticControl               ;0.9633333333333334 ;   0.9966666666666668 ;1.0                ;0.9966666666666667;0.9933333333333333;0.9866666666666667
ToeSegmentation1               ;0.8640350877192983 ;   0.8157894736842105 ;0.5263157894736842 ;0.7236842105263158;0.793859649122807;0.7017543859649122
ToeSegmentation2               ;0.7923076923076923 ;   0.8615384615384616 ;0.8384615384615385 ;0.8538461538461538;0.8846153846153846;0.7461538461538462
Trace                          ;1.0                ;   1.0                ;1.0                ;0.98;0.98;0.91
TwoLeadECG                     ;0.8323090430201932 ;   0.9912203687445128 ;0.4995610184372256 ;0.7515364354697103;0.8507462686567164;0.7752414398595259
TwoPatterns                    ;0.848              ;   0.997              ;0.9955             ;0.9445;0.99775;0.925
UMD                            ;0.8958333333333334 ;   0.9861111111111112 ;0.9513888888888888 ;0.9791666666666666;0.9861111111111112;0.8958333333333334
UWaveGestureLibraryAll         ;0.8280290340591848 ;   0.9637074260189838 ;0.951144611948632  ;0.9539363484087102;0.8140703517587939;0.9438860971524288
UWaveGestureLibraryX           ;0.7546063651591289 ;   0.8403126744835288 ;0.803461753210497  ;0.794249022892239;0.7319932998324958;0.7763819095477387
UWaveGestureLibraryY           ;0.6954215522054717 ;   0.768285873813512  ;0.7252931323283082 ;0.7166387493020658;0.7573981016192072;0.7079843662758235
UWaveGestureLibraryZ           ;0.7024008933556672 ;   0.7858738135120045 ;0.7467895030709101 ;0.7848738135120045;0.9980532121998702;0.7275265214963708
Wafer                          ;0.9974042829331604 ;   1.0                ;1.0                ;0.9991330304996755;0.7222222222222222;0.994970798182998
Wine                           ;0.3888888888888889 ;   0.7962962962962963 ;0.5                ;0.8518518518518519;0.658307210031348;0.6851851851851852
WordSynonyms                   ;0.5376175548589341 ;   0.6536050156739812 ;0.5877742946708464 ;0.6206896551724138;0.6493506493506493;0.6379310344827587
Worms                          ;0.7272727272727273 ;   0.8181818181818182 ;0.7662337662337663 ;0.5844155844155844;0.7142857142857143;0.7272727272727273
WormsTwoClass                  ;0.8571428571428571 ;   0.8311688311688312 ;0.6103896103896104 ;0.7532467532467533;0.8473333333333334;0.8051948051948052
Yoga                           ;0.784              ;   0.9146666666666666 ;0.9146666666666666 ;0.8396666666666667;0.8473333333333334;0.8296666666666667
